Layer,Name,Description,Latitude,Longitude
Day 1 (9/29),1. 那霸機場 (OKA),14:40 班機抵達，搭乘單軌前往市區,26.2064,127.6459
Day 1 (9/29),2. 那霸嘉新酒店 (Hotel Collective),辦理入住，位於國際通正中心,26.2162,127.6872
Day 1 (9/29),3. 浮島通 / 國際通散策,傍晚巷弄文青設計選品店散策,26.2148,127.6891
Day 1 (9/29),4. 沖繩燒肉 極上牛 (小祿站),晚餐：頂級神戶牛/本土黑毛和牛燒肉,26.1963,127.6669
Day 2 (9/30),1. 奧武山公園 (清晨跑折返點),清晨 5-6 km 跑步，平整橡膠跑道與綠蔭,26.2045,127.6763
Day 2 (9/30),2. 首里城公園,上午文化散策，古城牆與市景俯瞰,26.2170,127.7195
Day 2 (9/30),3. ポーたま 牧志市場店 (沖繩飯糰),午餐輕食：現點現做炸蝦明太子飯糰,26.2145,127.6888
Day 2 (9/30),4. 波上宮 ＆ 波之上海灘,下午巨岩神社參拜與海灘散步放空,26.2207,127.6713
Day 2 (9/30),5. 琉球海鮮酒場 琉星,晚餐：久茂地當季現流海鮮居酒屋,26.2168,127.6834
Day 3 (10/1),1. 租車取車點 (美榮橋/縣廳前),09:00 取車北上開啟自駕旅程,26.2198,127.6855
Day 3 (10/1),2. GORDIE'S 漢堡 (北谷美國村),午餐：美國村炭火手打漢堡,26.3217,127.7554
Day 3 (10/1),3. 萬座毛海岬遊步道,下午戶外健行：象鼻岩與群青斷崖海景步道,26.5049,127.8505
Day 3 (10/1),4. 恩納水感酒店 (AQUASENSE),15:30 入住奢華海景房與露天陽台浴缸,26.4475,127.8136
Day 3 (10/1),5. 琉球料理 海物語 本店,晚餐：傳統民謠三線琴演奏海鮮料理,26.4389,127.8082
Day 3 (10/1),6. AQUA Terrance Pool Bar,夜晚微醺：水感酒店露天星空泳池酒吧,26.4475,127.8136
Day 4 (10/2),1. 恩納國道58海側晨跑路線,清晨海景跑 5-8 km,26.4475,127.8136
Day 4 (10/2),2. 沖繩美麗海水族館,上午必去：黑潮之海巨大鯨鯊與鬼蝠魟,26.6943,127.8779
Day 4 (10/2),3. 百年老店 岸本食堂 (本部町),午餐：柴火古法熬製三層肉沖繩麵,26.6628,127.8887
Day 4 (10/2),4. 備瀨福木林道,下午租借自行車漫遊綠色隧道至海灘,26.7042,127.8814
Day 4 (10/2),5. 島時間 (Shimajikan),晚餐：恩納村在地家庭居酒食堂,26.5055,127.8552
Day 5 (10/3),1. 殘波岬燈塔公園,上午散步：白色燈塔與30米高海崖絕景,26.4402,127.7126
Day 5 (10/3),2. 港川外人住宅區 (oHacorté 港川店),午茶採買：水果塔、檸檬蛋糕與質感選物,26.2625,127.7153
Day 5 (10/3),3. 瀨長島 Umikaji Terrace,下午：白色階梯看飛機吃午餐、食材伴手禮,26.1751,127.6433
Day 5 (10/3),4. 那霸機場租車營業所,13:30 還車，搭接駁車前往航廈返台,26.1950,127.6521
